trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
497,False,"{'a': 0.5, 'e': 0.05038811223899596}",20,0,-12.03878528014127,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
498,False,"{'a': 0.5, 'e': 0.05008668874032793}",25,3,16.062054055980873,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
499,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,17,8.53465861298051,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
500,False,"{'a': 0.5, 'e': 0.04948924033523819}",20,12,11.326244839363063,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
501,False,"{'a': 0.5, 'e': 0.04919319392060936}",25,13,23.467379346826018,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
502,False,"{'a': 0.5, 'e': 0.04889891846627454}",25,13,25.3550811392365,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
503,False,"{'a': 0.5, 'e': 0.048606403378285604}",20,14,8.203041463899314,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
504,False,"{'a': 0.5, 'e': 0.04831563812606777}",20,10,19.976799882076826,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
505,False,"{'a': 0.5, 'e': 0.048026612242040585}",25,15,18.1729630723263,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
506,False,"{'a': 0.5, 'e': 0.047739315321240976}",30,15,24.810635120097793,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
507,False,"{'a': 0.5, 'e': 0.0474537370209488}",25,11,26.1560766593075,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,False,"{'a': 0.5, 'e': 0.04716986706031437}",30,19,19.315831805698334,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
509,False,"{'a': 0.5, 'e': 0.046887695219988486}",20,13,-8.09996259613917,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
510,False,"{'a': 0.5, 'e': 0.04660721134175438}",30,16,25.30948225350305,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
511,False,"{'a': 0.5, 'e': 0.046328405328162174}",30,19,21.486426326307267,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
512,False,"{'a': 0.5, 'e': 0.046051267142165266}",20,8,20.61203928287407,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
513,False,"{'a': 0.5, 'e': 0.04577578680675899}",30,11,31.719142065609105,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
514,False,"{'a': 0.5, 'e': 0.04550195440462157}",25,14,23.88151998242073,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,False,"{'a': 0.5, 'e': 0.04522976007775692}",20,12,16.827966550037107,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,False,"{'a': 0.5, 'e': 0.0449591940271399}",25,0,30.003578901347154,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
517,False,"{'a': 0.5, 'e': 0.04469024651236344}",20,10,19.197384198552236,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
